mutant, misMatchPercentage, isSameDimensions, analysisTime
267, 0.25, true, 102
268, 0.81, true, 96
268, 0.25, true, 104
268, 0.77, true, 97
268, 0.25, true, 103
269, 0.27, true, 101
269, 0.25, true, 101
269, 0.77, true, 100
269, 0.25, true, 108
270, 0.27, true, 102
270, 0.25, true, 105
270, 0.77, true, 98
270, 0.25, true, 103
271, 0.81, true, 97
271, 0.25, true, 103
271, 0.77, true, 98
271, 0.25, true, 104
272, 0.27, true, 106
272, 0.25, true, 100
272, 0.77, true, 98
272, 0.25, true, 101
273, 0.81, true, 96
273, 0.25, true, 103
273, 0.77, true, 105
273, 0.25, true, 104
274, 0.25, true, 105
274, 0.25, true, 108
274, 0.76, true, 112
